,playerID,yearID,LastOfteamID,nameFirst,nameLast,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
4853,villajo01,2016,MIL,Jonathan,Villar,156.0,168.0,589.0,19.0,63.0,62.0,92.0,38.0,3.0,18.0,79.0,174.0,4.0,2.0,5.0,4,0.0,0.0,0.0,11.0,42.0,108.0,0.0,0.0,0.0,0.0,0.0,ss,"['2b', '3b', 'ss']",0.28522920203735147,0.3694362017804154,108.0,0.4567062818336163,0.8261424836140316,0.4278438030560272,0.40425531914893614,0.7479674796747967,0.47368421052631576,1.0,1.0,3.0537508124060757
2751,machama01,2016,BAL,Manny,Machado,157.0,188.0,640.0,37.0,96.0,0.0,105.0,40.0,1.0,3.0,48.0,120.0,9.0,3.0,0.0,5,0.0,0.0,0.0,0.0,114.0,45.0,0.0,0.0,0.0,0.0,0.0,3b,"['3b', 'ss']",0.29375,0.34339080459770116,110.0,0.5328125,0.8762033045977011,0.44062500000000004,0.7872340425531915,0.8536585365853658,0.7218045112781954,0.0,1.0,2.803322090416753
4333,segurje01,2016,ARI,Jean,Segura,153.0,203.0,637.0,20.0,64.0,33.0,102.0,41.0,7.0,10.0,39.0,101.0,1.0,12.0,4.0,2,0.0,0.0,0.0,142.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2b,"['2b', 'ss']",0.31868131868131866,0.3681159420289855,135.0,0.49921507064364207,0.8673310126726276,0.478021978021978,0.425531914893617,0.8292682926829268,0.48120300751879697,0.532258064516129,1.0,2.746283257633448
387,bogaexa01,2016,BOS,Xander,Bogaerts,157.0,192.0,652.0,21.0,89.0,13.0,115.0,34.0,1.0,4.0,58.0,123.0,0.0,6.0,0.0,3,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.294478527607362,0.3560500695410292,136.0,0.44631901840490795,0.8023690879459371,0.441717791411043,0.44680851063829785,0.9349593495934959,0.6691729323308271,0.20967741935483872,1.0,2.702336003328502
2642,lindofr01,2016,CLE,Francisco,Lindor,158.0,182.0,604.0,15.0,78.0,19.0,99.0,30.0,3.0,5.0,57.0,88.0,3.0,5.0,3.0,15,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,1.0,ss,['ss'],0.30132450331125826,0.35829662261380324,134.0,0.43543046357615894,0.7937270861899621,0.4519867549668874,0.3191489361702128,0.8048780487804879,0.5864661654135338,0.3064516129032258,1.0,2.468931518234348
4320,seageco01,2016,LAN,Corey,Seager,157.0,193.0,627.0,26.0,72.0,3.0,105.0,40.0,5.0,3.0,54.0,133.0,5.0,4.0,0.0,2,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.3078149920255183,0.3653566229985444,122.0,0.5119617224880383,0.8773183454865827,0.4617224880382775,0.5531914893617021,0.8536585365853658,0.5413533834586466,0.04838709677419355,1.0,2.4583129942181854
915,correca01,2016,HOU,Carlos,Correa,153.0,158.0,577.0,20.0,96.0,13.0,76.0,36.0,3.0,3.0,75.0,139.0,5.0,5.0,0.0,3,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.2738301559792028,0.3606060606060606,99.0,0.4506065857885615,0.8112126463946221,0.4107452339688042,0.425531914893617,0.6178861788617886,0.7218045112781954,0.20967741935483872,1.0,2.385645258357244
3024,millebr02,2016,TBA,Brad,Miller,152.0,133.0,548.0,30.0,81.0,6.0,73.0,29.0,6.0,4.0,47.0,149.0,0.0,3.0,0.0,3,0.0,0.0,39.0,0.0,0.0,105.0,1.0,0.0,0.0,1.0,7.0,ss,"['1b', 'ss']",0.2427007299270073,0.30449251247920134,68.0,0.48175182481751827,0.7862443372967196,0.36405109489051096,0.6382978723404256,0.5934959349593496,0.6090225563909775,0.0967741935483871,1.0,2.3016416521296508
4338,semiema01,2016,OAK,Marcus,Semien,159.0,135.0,568.0,27.0,75.0,10.0,72.0,27.0,2.0,2.0,51.0,139.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.23767605633802816,0.3,79.0,0.43485915492957744,0.7348591549295774,0.35651408450704225,0.574468085106383,0.5853658536585366,0.5639097744360902,0.16129032258064516,1.0,2.241548120288697
4515,storytr01,2016,COL,Trevor,Story,97.0,101.0,372.0,27.0,72.0,8.0,67.0,21.0,4.0,5.0,35.0,130.0,2.0,5.0,2.0,1,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.271505376344086,0.3414043583535109,49.0,0.5672043010752689,0.9086086594287798,0.407258064516129,0.574468085106383,0.5447154471544715,0.5413533834586466,0.12903225806451613,1.0,2.196827238300146
4132,russead02,2016,CHN,Addison,Russell,151.0,125.0,525.0,21.0,95.0,5.0,67.0,25.0,3.0,1.0,55.0,135.0,6.0,12.0,0.0,6,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.23809523809523808,0.3210702341137124,76.0,0.41714285714285715,0.7382130912565695,0.35714285714285715,0.44680851063829785,0.5447154471544715,0.7142857142857143,0.08064516129032258,1.0,2.143597690511663
139,andruel01,2016,TEX,Elvis,Andrus,147.0,153.0,506.0,8.0,69.0,24.0,75.0,31.0,7.0,8.0,47.0,70.0,2.0,4.0,4.0,7,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.30237154150197626,0.3617021276595745,107.0,0.43873517786561267,0.8004373055251872,0.4535573122529644,0.1702127659574468,0.6097560975609756,0.518796992481203,0.3870967741935484,1.0,2.139419942446138
1559,galvifr01,2016,PHI,Freddy,Galvis,158.0,141.0,584.0,20.0,67.0,17.0,61.0,26.0,3.0,6.0,25.0,136.0,6.0,3.0,8.0,4,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.24143835616438356,0.27435064935064934,92.0,0.398972602739726,0.6733232520903754,0.3621575342465754,0.425531914893617,0.4959349593495935,0.5037593984962406,0.27419354838709675,1.0,2.061577355373123
1349,espinda01,2016,WAS,Danny,Espinosa,157.0,108.0,516.0,24.0,72.0,9.0,66.0,15.0,0.0,2.0,54.0,174.0,12.0,20.0,7.0,4,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.20930232558139536,0.3063973063973064,69.0,0.37790697674418605,0.6843042831414925,0.3139534883720931,0.5106382978723404,0.5365853658536586,0.5413533834586466,0.14516129032258066,1.0,2.047691825879319
1844,gregodi01,2016,NYA,Didi,Gregorius,153.0,155.0,562.0,20.0,70.0,7.0,68.0,32.0,2.0,1.0,19.0,82.0,2.0,6.0,5.0,5,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.27580071174377224,0.30405405405405406,101.0,0.44661921708185054,0.7506732711359045,0.4137010676156584,0.425531914893617,0.5528455284552846,0.5263157894736842,0.11290322580645161,1.0,2.0312975262446957
578,cabreas01,2016,NYN,Asdrubal,Cabrera,141.0,146.0,521.0,23.0,62.0,5.0,65.0,30.0,1.0,1.0,38.0,103.0,3.0,7.0,0.0,2,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.2802303262955854,0.3362676056338028,92.0,0.4740882917466411,0.8103558973804439,0.42034548944337813,0.48936170212765956,0.5284552845528455,0.46616541353383456,0.08064516129032258,1.0,1.98497305094804
947,crawfbr01,2016,SFN,Brandon,Crawford,155.0,152.0,553.0,12.0,84.0,7.0,67.0,28.0,11.0,0.0,57.0,115.0,10.0,4.0,0.0,9,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.27486437613019893,0.3418940609951846,101.0,0.43037974683544306,0.7722738078306277,0.4122965641952984,0.2553191489361702,0.5447154471544715,0.631578947368421,0.11290322580645161,1.0,1.9568133334608127
1138,diazal02,2016,SLN,Aledmys,Diaz,111.0,121.0,404.0,17.0,65.0,4.0,71.0,28.0,3.0,4.0,41.0,60.0,6.0,7.0,2.0,6,0.0,0.0,0.0,1.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.2995049504950495,0.36899563318777295,73.0,0.5099009900990099,0.8788966232867829,0.44925742574257427,0.3617021276595745,0.5772357723577236,0.48872180451127817,0.06451612903225806,1.0,1.9414332593034087
4740,tulowtr01,2016,TOR,Troy,Tulowitzki,131.0,125.0,492.0,24.0,79.0,1.0,54.0,21.0,0.0,0.0,43.0,101.0,1.0,5.0,0.0,4,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,3.0,ss,['ss'],0.2540650406504065,0.3180147058823529,80.0,0.44308943089430897,0.7611041367766619,0.3810975609756098,0.5106382978723404,0.43902439024390244,0.5939849624060151,0.016129032258064516,1.0,1.940874243755932
1904,gyorkje01,2016,SLN,Jedd,Gyorko,128.0,97.0,400.0,30.0,59.0,0.0,58.0,9.0,1.0,0.0,37.0,96.0,1.0,0.0,0.0,1,0.0,0.0,11.0,46.0,39.0,26.0,0.0,0.0,0.0,0.0,0.0,2b,"['1b', '2b', '3b', 'ss']",0.2425,0.3059360730593607,57.0,0.495,0.8009360730593607,0.36375,0.6382978723404256,0.4715447154471545,0.44360902255639095,0.0,1.0,1.9172016103439709
3298,nunezed02,2016,SFN,Eduardo,Nunez,91.0,110.0,371.0,12.0,47.0,27.0,49.0,15.0,1.0,6.0,15.0,58.0,0.0,3.0,2.0,5,0.0,0.0,0.0,6.0,81.0,55.0,0.0,0.0,0.0,0.0,6.0,3b,"['3b', 'ss']",0.29649595687331537,0.3248730964467005,82.0,0.4393530997304582,0.7642261961771587,0.4447439353099731,0.2553191489361702,0.3983739837398374,0.3533834586466165,0.43548387096774194,1.0,1.8873043976003392
215,baezja01,2016,CHN,Javier,Baez,142.0,115.0,421.0,14.0,59.0,12.0,50.0,19.0,1.0,3.0,15.0,108.0,3.0,11.0,1.0,2,0.0,0.0,6.0,59.0,62.0,25.0,2.0,0.0,0.0,2.0,0.0,3b,"['2b', '3b', 'ss']",0.27315914489311166,0.31403118040089084,81.0,0.42280285035629456,0.7368340307571855,0.4097387173396675,0.2978723404255319,0.4065040650406504,0.44360902255639095,0.1935483870967742,1.0,1.7512725324590148
939,cozarza01,2016,CIN,Zack,Cozart,121.0,117.0,464.0,16.0,50.0,4.0,67.0,28.0,2.0,1.0,37.0,84.0,3.0,2.0,1.0,4,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,1.0,ss,['ss'],0.2521551724137931,0.3076923076923077,71.0,0.4245689655172414,0.732261273209549,0.37823275862068967,0.3404255319148936,0.5447154471544715,0.37593984962406013,0.06451612903225806,1.0,1.703829716346373
1328,escobal02,2016,KCA,Alcides,Escobar,162.0,166.0,637.0,7.0,55.0,17.0,57.0,24.0,6.0,4.0,27.0,96.0,2.0,3.0,10.0,5,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,ss,['ss'],0.260596546310832,0.2916666666666667,129.0,0.3500784929356358,0.6417451596023025,0.39089481946624804,0.14893617021276595,0.4634146341463415,0.41353383458646614,0.27419354838709675,1.0,1.6909730067989184
1752,gonzama01,2016,HOU,Marwin,Gonzalez,141.0,123.0,484.0,13.0,51.0,12.0,55.0,26.0,3.0,6.0,22.0,118.0,1.0,5.0,6.0,1,0.0,0.0,92.0,14.0,22.0,11.0,18.0,1.0,0.0,19.0,3.0,1b,"['1b', '2b', '3b', 'ss', 'lf', 'of']",0.25413223140495866,0.29296875,81.0,0.40082644628099173,0.6937951962809917,0.381198347107438,0.2765957446808511,0.44715447154471544,0.38345864661654133,0.1935483870967742,1.0,1.68195559704632
3397,owingch01,2016,ARI,Chris,Owings,119.0,121.0,437.0,5.0,49.0,21.0,52.0,24.0,11.0,2.0,20.0,87.0,4.0,5.0,2.0,2,0.0,0.0,0.0,1.0,0.0,70.0,0.0,49.0,0.0,49.0,0.0,ss,"['ss', 'cf', 'of']",0.2768878718535469,0.3146551724137931,81.0,0.41647597254004576,0.7311311449538389,0.41533180778032036,0.10638297872340426,0.42276422764227645,0.3684210526315789,0.3387096774193548,1.0,1.6516097441969346
